
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-03-11 19:57:20 ...................................................................................... ~ 0.20ms
  2026-03-11 19:57:26 /api/health .............................................................................. ~ 1s
  2026-03-11 19:58:22 /api/auth/login .......................................................................... ~ 2s
  2026-03-11 19:58:50 /api/auth/login .......................................................................... ~ 1s
  2026-03-11 19:58:51 /api/auth/login .......................................................................... ~ 1s
  2026-03-11 19:58:52 /api/auth/login .................................................................... ~ 512.75ms
  2026-03-11 19:58:53 /api/auth/login .......................................................................... ~ 1s
  2026-03-11 19:58:53 /api/auth/login .................................................................... ~ 503.05ms
  2026-03-11 19:58:54 /api/auth/login .......................................................................... ~ 1s
  2026-03-11 19:59:14 /api/online-widget/settings .............................................................. ~ 1s
  2026-03-11 19:59:14 /api/reseller/dashboard/stats ............................................................ ~ 1s
  2026-03-11 19:59:14 /api/reseller/dashboard/activations-chart ................................................ ~ 2s
  2026-03-11 19:59:14 /api/reseller/dashboard/revenue-chart .................................................... ~ 2s
  2026-03-11 19:59:14 /api/reseller/dashboard/recent-activity .................................................. ~ 3s
  2026-03-11 19:59:14 /api/online-widget/settings .............................................................. ~ 2s
  2026-03-11 19:59:17 /api/reseller/online-users ......................................................... ~ 502.91ms
  2026-03-11 19:59:48 /api/reseller/online-users ......................................................... ~ 501.26ms
  2026-03-11 20:00:11 /api/auth/login .......................................................................... ~ 1s
  2026-03-11 20:00:12 /api/online-widget/settings ........................................................ ~ 505.86ms
  2026-03-11 20:00:12 /api/reseller/dashboard/stats ............................................................ ~ 1s
  2026-03-11 20:00:13 /api/reseller/dashboard/activations-chart ................................................ ~ 1s
  2026-03-11 20:00:14 /api/reseller/dashboard/revenue-chart .................................................... ~ 1s
  2026-03-11 20:00:14 /api/reseller/dashboard/recent-activity .................................................. ~ 1s
  2026-03-11 20:00:15 /api/online-widget/settings .............................................................. ~ 1s
  2026-03-11 20:00:15 /api/reseller/dashboard/stats ............................................................ ~ 1s
  2026-03-11 20:00:16 /api/reseller/dashboard/activations-chart ................................................ ~ 1s
  2026-03-11 20:00:16 /api/reseller/dashboard/revenue-chart .................................................... ~ 1s
  2026-03-11 20:00:17 /api/reseller/dashboard/recent-activity .................................................. ~ 1s
  2026-03-11 20:00:17 /api/online-widget/settings .............................................................. ~ 1s
  2026-03-11 20:00:18 /api/reseller/online-users ......................................................... ~ 510.06ms
  2026-03-11 20:00:21 /api/auth/login .......................................................................... ~ 1s
  2026-03-11 20:00:22 /api/online-widget/settings .............................................................. ~ 1s
  2026-03-11 20:00:22 /api/reseller/dashboard/stats ............................................................ ~ 1s
  2026-03-11 20:00:23 /api/reseller/dashboard/activations-chart ................................................ ~ 1s
  2026-03-11 20:00:23 /api/reseller/dashboard/revenue-chart .................................................... ~ 1s
  2026-03-11 20:00:24 /api/reseller/dashboard/recent-activity .................................................. ~ 1s
  2026-03-11 20:00:24 /api/online-widget/settings .............................................................. ~ 1s
  2026-03-11 20:00:25 /api/manager/dashboard ................................................................... ~ 1s
  2026-03-11 20:00:25 /api/manager/online-users ................................................................ ~ 1s
  2026-03-11 20:00:29 /api/auth/login .......................................................................... ~ 1s
  2026-03-11 20:00:30 /api/online-widget/settings ........................................................ ~ 501.06ms
  2026-03-11 20:00:30 /api/manager/online-users ................................................................ ~ 1s
  2026-03-11 20:00:31 /api/online-widget/settings .............................................................. ~ 1s
  2026-03-11 20:00:31 /api/dashboard ........................................................................... ~ 1s
  2026-03-11 20:00:32 /api/online-users ........................................................................ ~ 1s
  2026-03-11 20:00:35 /api/auth/login .......................................................................... ~ 1s
  2026-03-11 20:00:37 /api/online-widget/settings ........................................................ ~ 506.08ms
  2026-03-11 20:00:37 /api/super-admin/dashboard/stats ......................................................... ~ 1s
  2026-03-11 20:00:37 /api/super-admin/dashboard/revenue-trend ................................................. ~ 1s
  2026-03-11 20:00:37 /api/super-admin/dashboard/tenant-comparison ............................................. ~ 2s
  2026-03-11 20:00:37 /api/super-admin/dashboard/license-timeline .............................................. ~ 2s
  2026-03-11 20:00:37 /api/super-admin/dashboard/recent-activity ............................................... ~ 3s
  2026-03-11 20:00:40 /api/super-admin/online-users ............................................................ ~ 1s
  2026-03-11 20:01:11 /api/super-admin/online-users ........................................................ ~ 0.15ms
  2026-03-11 20:01:42 /api/super-admin/online-users ...................................................... ~ 504.09ms
  2026-03-11 20:01:56 /api/reseller/online-users ............................................................... ~ 1s
  2026-03-11 20:02:00 /api/online-widget/settings .............................................................. ~ 1s
  2026-03-11 20:02:01 /api/reseller/customers ............................................................ ~ 515.28ms
  2026-03-11 20:02:01 /api/programs ............................................................................ ~ 1s
  2026-03-11 20:02:02 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:02:02 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:02:03 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:02:03 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:02:04 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:02:05 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:02:05 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:02:06 /api/online-widget/settings .............................................................. ~ 1s
  2026-03-11 20:02:07 /api/reseller/online-users ............................................................... ~ 1s
  2026-03-11 20:02:12 /api/super-admin/online-users ...................................................... ~ 502.09ms
  2026-03-11 20:02:18 /api/reseller/customers ............................................................ ~ 502.29ms
  2026-03-11 20:02:19 /api/online-widget/settings ........................................................ ~ 511.82ms
  2026-03-11 20:02:19 /api/super-admin/dashboard/stats ......................................................... ~ 1s
